"zip","city","brand","store_name","product_ean","product_desc","product_img","original_price","new_price","discount_dkk","discount_percent","stock","stock_unit","start_time","end_time","last_update"
"3450","Allerød","netto","Netto Allerød","5707196306897","MARINERET SVINEFILET VELSMAG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/74bc2587f0de19cb626627fba5b8932e",45.1,34,11.1,24.61,1,"each","2025-11-25T15:37:32.000Z","2025-11-27T22:59:59.000Z","2025-11-26T15:07:08.000Z"
"3450","Allerød","netto","Netto Allerød","3236240070306","FLØDEOST HAVSAL PAYSON BRETO",NA,22,9,13,59.09,2,"each","2025-11-24T09:02:24.000Z","2025-11-30T22:59:59.000Z","2025-11-26T15:52:15.000Z"
"3450","Allerød","netto","Netto Allerød","5712878251679","NAKKEKOTELETTER VELSMAG",NA,20,16,4,20,1,"each","2025-11-25T15:36:36.000Z","2025-11-27T22:59:59.000Z","2025-11-26T15:52:15.000Z"
"3450","Allerød","netto","Netto Allerød","5707196304091","RIBBENSSTEG VELSMAG",NA,75.19,47,28.19,37.49,1,"each","2025-11-27T15:13:31.000Z","2025-11-28T22:59:59.000Z","2025-11-27T15:14:08.000Z"
"3450","Allerød","netto","Netto Allerød","5712874578916","SANDWI. TUN NÆMT","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/671de6260f1a7d51bf92af2dfda9553e",23.07,15,8.07,34.98,1,"each","2025-11-25T16:34:56.000Z","2025-11-27T22:59:59.000Z","2025-11-26T16:22:13.000Z"
"3450","Allerød","netto","Netto Allerød","5712872981442","BAMI GORENG NÆMT","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/e7cc9c48-80dc-4826-bba9-2f9fa4ec1ce7",38.39,23,15.39,40.09,1,"each","2025-11-26T16:25:29.000Z","2025-11-27T22:59:59.000Z","2025-11-26T16:25:56.000Z"
"3450","Allerød","netto","Netto Allerød","5712874436490","WRAP M/KYLLING/KARRY NÆMT","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/60d42573-cd6f-451f-9689-1a379726292e",23.04,12,11.04,47.92,2,"each","2025-11-26T16:27:51.000Z","2025-11-27T22:59:59.000Z","2025-11-26T20:52:51.000Z"
"3450","Allerød","netto","Netto Allerød","5701205001568","DET GODE SOL RUGBRØD SCHULSTAD","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4101f2f30cbd52f825218a0e66a13753",25.99,13,12.99,49.98,1,"each","2025-11-26T16:41:21.000Z","2025-11-28T22:59:59.000Z","2025-11-26T16:41:46.000Z"
"3450","Allerød","netto","Netto Allerød","5712872401629","KERNERUGBRØD ØGO","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f81346d56c306660dcc69777858da6a6",15.98,11,4.98,31.16,6,"each","2025-11-26T16:42:40.000Z","2025-11-28T22:59:59.000Z","2025-11-26T16:42:58.000Z"
"3450","Allerød","netto","Netto Allerød","5726866108500","PROTEINBRØD KOHBERG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ec6a45e8-cae0-40c3-af14-63ec6a4bb793",25.99,14,11.99,46.13,6,"each","2025-11-26T16:44:11.000Z","2025-11-28T22:59:59.000Z","2025-11-26T16:44:30.000Z"
"3450","Allerød","netto","Netto Allerød","5712874821685","BONDEBRØD GAMLE MØLLE","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/088f55571f1764dc64ad46580e13b57d",7.65,6,1.65,21.57,3,"each","2025-11-26T16:44:59.000Z","2025-11-28T22:59:59.000Z","2025-11-27T09:22:54.000Z"
"3450","Allerød","netto","Netto Allerød","5701638141794","SALATOST PERS. TAVERNA","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ed26349e-63b3-42b6-8a79-2f952a4bdf3d",12,9,3,25,1,"each","2025-11-21T08:21:37.000Z","2025-12-31T22:59:59.000Z","2025-11-27T09:37:54.000Z"
"3450","Allerød","netto","Netto Allerød","5712877953031","SKYR VANILJE EGELYKKE","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/image",15.95,12,3.95,24.76,3,"each","2025-11-27T10:24:42.000Z","2025-11-28T22:59:59.000Z","2025-11-27T11:38:04.000Z"
"3450","Allerød","netto","Netto Allerød","5705522023432","SERRANO CASA CZAJA",NA,25,19,6,24,7,"each","2025-11-23T09:37:01.000Z","2025-12-08T22:59:59.000Z","2025-11-27T11:08:03.000Z"
"3450","Allerød","netto","Netto Allerød","5712877574144","KYLLING BURRITO NÆMT",NA,30.16,19,11.16,37,1,"each","2025-11-26T16:23:42.000Z","2025-11-27T22:59:59.000Z","2025-11-27T12:53:25.000Z"
"3450","Allerød","netto","Netto Allerød","7622210116444","HVIDLØG/URT. PHILADELPHIA","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4c504dd0-f8c3-40f2-bc0c-c6d402592d15",22,17,5,22.73,1,"each","2025-11-21T08:26:31.000Z","2025-12-31T22:59:59.000Z","2025-11-27T14:53:32.000Z"
"3450","Allerød","netto","Netto Allerød","5712878226936","SKINKESCHNITZLE VELSMAG",NA,20,15,5,25,2,"each","2025-11-27T15:30:56.000Z","2025-11-29T22:59:59.000Z","2025-11-27T15:31:20.000Z"
"3450","Allerød","netto","Netto Allerød","5712878243490","FLÆSK I SKIVER PREMIEUR",NA,45,35,10,22.22,2,"each","2025-11-27T15:31:51.000Z","2025-11-29T22:59:59.000Z","2025-11-27T15:32:12.000Z"
"3450","Allerød","netto","Netto Allerød","5710405641603","LAMMECULOTTE PREMIEUR","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/66c59e9e-fdb0-4901-bf03-9dea0d4fe8c9",80.28,55,25.28,31.49,3,"each","2025-11-27T15:33:10.000Z","2025-11-29T22:59:59.000Z","2025-11-27T15:33:34.000Z"
"3450","Allerød","netto","Netto Allerød","5707196304053","JULEMEDISTER VELSMAG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4ea85eea3779f38e07b19737b8d29d8b",35.11,22,13.11,37.34,4,"each","2025-11-27T15:16:22.000Z","2025-11-28T22:59:59.000Z","2025-11-27T15:38:43.000Z"
"3450","Allerød","netto","Netto Allerød","5712877670846","FILET A LA MØR. PREMIEUR",NA,46.19,29,17.19,37.22,5,"each","2025-11-27T15:14:50.000Z","2025-11-29T22:59:59.000Z","2025-11-27T15:38:43.000Z"
"3450","Allerød","netto","Netto Blovstrød","5707196306897","MARINERET SVINEFILET VELSMAG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/74bc2587f0de19cb626627fba5b8932e",45.1,35,10.1,22.39,4,"each","2025-11-26T05:39:28.000Z","2025-11-28T22:59:59.000Z","2025-11-26T14:07:34.000Z"
"3450","Allerød","netto","Netto Blovstrød","5706911028939","FETA I TERN ATHENA","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7c973433753ab68e57a61638f39086ba",28,15,13,46.43,5,"each","2025-11-12T09:44:08.000Z","2025-11-30T22:59:59.000Z","2025-11-26T15:52:55.000Z"
